XML Filename,id,Comment,English Value
InterSpecApp.xml,,," Currently, this file is loaded before the users language preference is loaded, 
    meaning the version of this file will correspond to the OS-reported language.

    Therefore, its probably not worth customizing this file to each language.
  "
InterSpecApp.xml,interspec,,InterSpec
InterSpecApp.xml,app-deep-link-error,,Error handling deep-link: {1}
InterSpec.xml,,," Text labels for general buttons/prompts, and one-off words around the app.  Note the capitalization. "
InterSpec.xml,Cancel,,Cancel
InterSpec.xml,Yes,,Yes
InterSpec.xml,No,,No
InterSpec.xml,Close,,Close
InterSpec.xml,Save,,Save
InterSpec.xml,Name,,Name
InterSpec.xml,Desc.,,Desc.
InterSpec.xml,Back,,Back
InterSpec.xml,Create,,Create
InterSpec.xml,Energy,,Energy
InterSpec.xml,Counts,,Counts
InterSpec.xml,Foreground,,Foreground
InterSpec.xml,Background,,Background
InterSpec.xml,Secondary,,Secondary
InterSpec.xml,second-foreground,,Second Foreground
InterSpec.xml,foreground,For use in middle of sentence,foreground
InterSpec.xml,background,For use in middle of sentence,background
InterSpec.xml,secondary,For use in middle of sentence,secondary
InterSpec.xml,Exit,,Exit
InterSpec.xml,show-lines,,Show Lines
InterSpec.xml,Default,,Default
InterSpec.xml,Error,,Error
InterSpec.xml,Description,,Description
InterSpec.xml,Detector,,Detector
InterSpec.xml,Distance,,Distance
InterSpec.xml,Activity,,Activity
InterSpec.xml,Remark,,Remark
InterSpec.xml,,," Words not used in InterSpec.cpp, but at least a few places throughout the app "
InterSpec.xml,Continuum,,Continuum
InterSpec.xml,cont-type,,Cont. Type
InterSpec.xml,Title,,Title
InterSpec.xml,Fit,,Fit
InterSpec.xml,Use,,Use
InterSpec.xml,Energy,,Energy
InterSpec.xml,Mean,,Mean
InterSpec.xml,FWHM,,FWHM
InterSpec.xml,Amp.,,Amp.
InterSpec.xml,Area,,Area
InterSpec.xml,Age,,Age
InterSpec.xml,Add,,Add
InterSpec.xml,Peak,,Peak
InterSpec.xml,Delete,,Delete
InterSpec.xml,Photopeak,,Photopeak
InterSpec.xml,Nuclide,,Nuclide
InterSpec.xml,Skew,,Skew
InterSpec.xml,CPS,,CPS
InterSpec.xml,CSV,,CSV
InterSpec.xml,True,,True
InterSpec.xml,False,,False
InterSpec.xml,Remove,,Remove
InterSpec.xml,RemoveAll,,Remove All
InterSpec.xml,Clear,,Clear
InterSpec.xml,ClearAll,,Clear All
InterSpec.xml,T1/2,,T½
InterSpec.xml,Gamma,,Gamma
InterSpec.xml,X-rays,,X-rays
InterSpec.xml,x-ray,,x-ray
InterSpec.xml,Live Time,,Live Time
InterSpec.xml,Real Time,,Real Time
InterSpec.xml,Geometry,,Geometry
InterSpec.xml,Load,,Load
InterSpec.xml,Mass,,Mass
InterSpec.xml,NA,,NA
InterSpec.xml,n/a,,n/a
InterSpec.xml,N/A,,N/A
InterSpec.xml,Min.,,Min.
InterSpec.xml,Max.,,Max.
InterSpec.xml,QR Code,,QR Code
InterSpec.xml,Accept,,Accept
InterSpec.xml,Dose,,Dose
InterSpec.xml,Shielding,,Shielding
InterSpec.xml,app-qr-err,,Error creating QR code: {1}
InterSpec.xml,intrinsic-activity,,Intrinsic Activity
InterSpec.xml,Calibration,,Calibration
InterSpec.xml,Unknown,,Unknown
InterSpec.xml,Energy (keV),,Energy (keV)
InterSpec.xml,,," Units the user may use to write time duration.
    Note that we dont have very good changing case (i.e., from lower to upper, or upper to lower)
    in the C++ code, so to be sure the matching works, you should include common capitalization
    schemes here - sorry.

    It is important that the | character is used, with no spaces, to seperate the different possible
    units (this is because this string will become part of a regular-expression).
    
    These 'units-labels-*' string also MUST NOT be empty, or regex validation inputs will fail.
    (you can leave the whole element out, to default to English, but if you put in a localized
    element, the node must hav a value)
  "
InterSpec.xml,units-labels-second,,seconds|second|sec|s|SECONDS|SECOND|SEC|S
InterSpec.xml,units-labels-minute,,minute|minutes|min|m
InterSpec.xml,units-labels-hours,,hours|hour|hrs|h
InterSpec.xml,units-labels-days,,days|day|d
InterSpec.xml,units-labels-year,,years|year|yr|y
InterSpec.xml,units-labels-half-lives,,hl|halflife|halflives|half-life|half-lives|half lives|half life
InterSpec.xml,,, Units to use when writing a time duration out 
InterSpec.xml,units-label-seconds-short,,s
InterSpec.xml,units-label-minutes-short,,m
InterSpec.xml,units-label-hours-short,,h
InterSpec.xml,units-label-days-short,,d
InterSpec.xml,units-label-years-short,,y
InterSpec.xml,,," The dialog when the user selects ""Clear Session..."" from the File menu "
InterSpec.xml,clear-session,,Clear Session?
InterSpec.xml,clear-session-msg,,Are you sure you would like to start a clean session?
InterSpec.xml,window-title-spec-file-query,,Spectrum File Query Tool
InterSpec.xml,window-title-notification-log,,Notification Log
InterSpec.xml,notification-log-clear,,Clear Notifications
InterSpec.xml,window-title-peak-manager,,Peak Manager
InterSpec.xml,window-title-store-state-as,,Store State As
InterSpec.xml,window-title-tag-state,,Tag current state
